[-3, 195, 2, 0, 1]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[1, 194, 2, 0, -1]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 195, -3, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[1, 194, 1, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-2, 194, -2, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[2, 195, 2, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-2, 194, -2, -1, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[85, 111, 0, 1, 0]   {'Q': 0, '1': 16, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-194, 1, -1, -1, 0]   {'Q': 41, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-195, -1, 2, 1, 0]   {'Q': 41, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-195, 0, 0, 0, 0]   {'Q': 41, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-193, 0, 0, 0, 0]   {'Q': 41, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
