message:{'Q': 0, '1': 0, 'W': 0, '2': 48, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[0, -2402, -3, 0, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 38, '4': 0, 'T': 0, '5': 0}  delta:[0, 27, 1, -4122, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 68, 'T': 1, '5': 0}  delta:[0, -3, 1, 7061, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 51}  delta:[0, -3, 0, 9, -2655]   JOINTS
message:{'Q': 0, '1': 0, 'W': 66, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[0, 3285, 0, 0, 2]   JOINTS
message:{'Q': 23, '1': 0, 'W': 1, '2': 14, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1490, -623, 0, 0, 0]   JOINTS
message:{'Q': 21, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1478, -10, 0, 0, 0]   JOINTS
message:{'Q': 1, '1': 53, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-2391, 2, 0, 0, 0]   JOINTS
message:{'Q': 0, '1': 1, 'W': 0, '2': 63, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-282, -2909, 0, 0, -1]   JOINTS
message:{'Q': 0, '1': 0, 'W': 74, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[0, 3447, 0, 0, 1]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[0, -16, 0, 0, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-1, 0, 0, 0, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 50, '4': 0, 'T': 0, '5': 0}  delta:[0, 1, 0, -4699, -1]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 74, 'T': 1, '5': 0}  delta:[1, 0, 0, 6779, 0]   JOINTS
message:{'Q': 28, '1': 58, 'W': 90, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-1295, 260, 0, 11, 1]   JOINTS
message:{'Q': 41, '1': 0, 'W': 0, '2': 48, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1564, -519, 0, -1, 0]   JOINTS
