[1496, 0, 0, 0, 0]   {'Q': 41, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 0, 0, 0, -1478]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 41}
[1, 0, 0, 0, -1482]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 41}
[-1481, -220, 0, 0, 0]   {'Q': 0, '1': 40, 'W': 0, '2': 1, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 1489, 0, 0, -1]   {'Q': 0, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1, 1481, 0, 0, 0]   {'Q': 0, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[1, 1480, -1, 0, 0]   {'Q': 0, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1, 1482, 1, 0, 0]   {'Q': 0, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[1, 1478, 0, 0, 1]   {'Q': 0, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 1483, 0, 0, -1]   {'Q': 0, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 1478, 0, 0, 0]   {'Q': 0, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -1, -634, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 29, '3': 12, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 3, -1692, 0, 1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -4, -1479, 0, -1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 4, -1481, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -4, -1481, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 4, -1479, 1, 1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
